종명칭,섬이름,부리_길이,부리_깊이,물갈퀴_길이,체중,성별,연도
아델리,드림,35.7,18,202,3550,암컷,2008
아델리,드림,41.1,18.1,205,4300,수컷,2008
아델리,드림,34,17.1,185,3400,암컷,2008
아델리,드림,39.6,18.1,186,4450,수컷,2008
아델리,드림,36.2,17.3,187,3300,암컷,2008
아델리,드림,40.8,18.9,208,4300,수컷,2008
아델리,드림,38.1,18.6,190,3700,암컷,2008
아델리,드림,40.3,18.5,196,4350,수컷,2008
아델리,드림,33.1,16.1,178,2900,암컷,2008
아델리,드림,43.2,18.5,192,4100,수컷,2008
아델리,비스코,35,17.9,192,3725,암컷,2009
아델리,비스코,41,20,203,4725,수컷,2009
아델리,비스코,37.7,16,183,3075,암컷,2009
아델리,비스코,37.8,20,190,4250,수컷,2009
아델리,비스코,37.9,18.6,193,2925,암컷,2009
아델리,비스코,39.7,18.9,184,3550,수컷,2009
아델리,비스코,38.6,17.2,199,3750,암컷,2009
아델리,비스코,38.2,20,190,3900,수컷,2009
아델리,비스코,38.1,17,181,3175,암컷,2009
아델리,비스코,43.2,19,197,4775,수컷,2009
아델리,비스코,38.1,16.5,198,3825,암컷,2009
아델리,비스코,45.6,20.3,191,4600,수컷,2009
아델리,비스코,39.7,17.7,193,3200,암컷,2009
아델리,비스코,42.2,19.5,197,4275,수컷,2009
아델리,비스코,39.6,20.7,191,3900,암컷,2009
아델리,비스코,42.7,18.3,196,4075,수컷,2009
아델리,토르거센,38.6,17,188,2900,암컷,2009
아델리,토르거센,37.3,20.5,199,3775,수컷,2009
아델리,토르거센,35.7,17,189,3350,암컷,2009
아델리,토르거센,41.1,18.6,189,3325,수컷,2009
아델리,토르거센,36.2,17.2,187,3150,암컷,2009
아델리,토르거센,37.7,19.8,198,3500,수컷,2009
아델리,토르거센,40.2,17,176,3450,암컷,2009
아델리,토르거센,41.4,18.5,202,3875,수컷,2009
아델리,토르거센,35.2,15.9,186,3050,암컷,2009
아델리,토르거센,40.6,19,199,4000,수컷,2009
아델리,토르거센,38.8,17.6,191,3275,암컷,2009
아델리,토르거센,41.5,18.3,195,4300,수컷,2009
아델리,토르거센,39,17.1,191,3050,암컷,2009
아델리,토르거센,44.1,18,210,4000,수컷,2009
아델리,토르거센,38.5,17.9,190,3325,암컷,2009
아델리,토르거센,43.1,19.2,197,3500,수컷,2009
아델리,드림,36.8,18.5,193,3500,암컷,2009
아델리,드림,37.5,18.5,199,4475,수컷,2009
아델리,드림,38.1,17.6,187,3425,암컷,2009
아델리,드림,41.1,17.5,190,3900,수컷,2009
아델리,드림,35.6,17.5,191,3175,암컷,2009
아델리,드림,40.2,20.1,200,3975,수컷,2009
아델리,드림,37,16.5,185,3400,암컷,2009
아델리,드림,39.7,17.9,193,4250,수컷,2009
아델리,드림,40.2,17.1,193,3400,암컷,2009
아델리,드림,40.6,17.2,187,3475,수컷,2009
아델리,드림,32.1,15.5,188,3050,암컷,2009
아델리,드림,40.7,17,190,3725,수컷,2009
아델리,드림,37.3,16.8,192,3000,암컷,2009
아델리,드림,39,18.7,185,3650,수컷,2009
아델리,드림,39.2,18.6,190,4250,수컷,2009
아델리,드림,36.6,18.4,184,3475,암컷,2009
아델리,드림,36,17.8,195,3450,암컷,2009
아델리,드림,37.8,18.1,193,3750,수컷,2009
아델리,드림,36,17.1,187,3700,암컷,2009
아델리,드림,41.5,18.5,201,4000,수컷,2009
젠투,비스코,46.1,13.2,211,4500,암컷,2007
젠투,비스코,50,16.3,230,5700,수컷,2007
젠투,비스코,48.7,14.1,210,4450,암컷,2007
젠투,비스코,50,15.2,218,5700,수컷,2007
젠투,비스코,47.6,14.5,215,5400,수컷,2007
젠투,비스코,46.5,13.5,210,4550,암컷,2007
젠투,비스코,45.4,14.6,211,4800,암컷,2007
젠투,비스코,46.7,15.3,219,5200,수컷,2007
젠투,비스코,43.3,13.4,209,4400,암컷,2007
젠투,비스코,46.8,15.4,215,5150,수컷,2007
젠투,비스코,40.9,13.7,214,4650,암컷,2007
젠투,비스코,49,16.1,216,5550,수컷,2007
젠투,비스코,45.5,13.7,214,4650,암컷,2007
젠투,비스코,48.4,14.6,213,5850,수컷,2007
젠투,비스코,45.8,14.6,210,4200,암컷,2007
젠투,비스코,49.3,15.7,217,5850,수컷,2007
젠투,비스코,42,13.5,210,4150,암컷,2007
젠투,비스코,49.2,15.2,221,6300,수컷,2007
젠투,비스코,46.2,14.5,209,4800,암컷,2007
젠투,비스코,48.7,15.1,222,5350,수컷,2007
젠투,비스코,50.2,14.3,218,5700,수컷,2007
젠투,비스코,45.1,14.5,215,5000,암컷,2007
젠투,비스코,46.5,14.5,213,4400,암컷,2007
젠투,비스코,46.3,15.8,215,5050,수컷,2007
젠투,비스코,42.9,13.1,215,5000,암컷,2007
젠투,비스코,46.1,15.1,215,5100,수컷,2007
젠투,비스코,47.8,15,215,5650,수컷,2007
젠투,비스코,48.2,14.3,210,4600,암컷,2007
젠투,비스코,50,15.3,220,5550,수컷,2007
젠투,비스코,47.3,15.3,222,5250,수컷,2007
젠투,비스코,42.8,14.2,209,4700,암컷,2007
젠투,비스코,45.1,14.5,207,5050,암컷,2007
젠투,비스코,59.6,17,230,6050,수컷,2007
젠투,비스코,49.1,14.8,220,5150,암컷,2008
젠투,비스코,48.4,16.3,220,5400,수컷,2008
젠투,비스코,42.6,13.7,213,4950,암컷,2008
젠투,비스코,44.4,17.3,219,5250,수컷,2008
젠투,비스코,44,13.6,208,4350,암컷,2008
젠투,비스코,48.7,15.7,208,5350,수컷,2008
젠투,비스코,42.7,13.7,208,3950,암컷,2008
젠투,비스코,49.6,16,225,5700,수컷,2008
젠투,비스코,45.3,13.7,210,4300,암컷,2008
젠투,비스코,49.6,15,216,4750,수컷,2008
젠투,비스코,50.5,15.9,222,5550,수컷,2008
젠투,비스코,43.6,13.9,217,4900,암컷,2008
젠투,비스코,45.5,13.9,210,4200,암컷,2008
젠투,비스코,50.5,15.9,225,5400,수컷,2008
젠투,비스코,44.9,13.3,213,5100,암컷,2008
젠투,비스코,45.2,15.8,215,5300,수컷,2008
젠투,비스코,46.6,14.2,210,4850,암컷,2008
젠투,비스코,48.5,14.1,220,5300,수컷,2008
젠투,비스코,45.1,14.4,210,4400,암컷,2008
젠투,비스코,50.1,15,225,5000,수컷,2008
젠투,비스코,46.5,14.4,217,4900,암컷,2008
젠투,비스코,45,15.4,220,5050,수컷,2008
젠투,비스코,43.8,13.9,208,4300,암컷,2008
젠투,비스코,45.5,15,220,5000,수컷,2008
젠투,비스코,43.2,14.5,208,4450,암컷,2008
젠투,비스코,50.4,15.3,224,5550,수컷,2008
젠투,비스코,45.3,13.8,208,4200,암컷,2008
젠투,비스코,46.2,14.9,221,5300,수컷,2008
젠투,비스코,45.7,13.9,214,4400,암컷,2008
젠투,비스코,54.3,15.7,231,5650,수컷,2008
젠투,비스코,45.8,14.2,219,4700,암컷,2008
젠투,비스코,49.8,16.8,230,5700,수컷,2008
젠투,비스코,49.5,16.2,229,5800,수컷,2008
젠투,비스코,43.5,14.2,220,4700,암컷,2008
젠투,비스코,50.7,15,223,5550,수컷,2008
젠투,비스코,47.7,15,216,4750,암컷,2008
젠투,비스코,46.4,15.6,221,5000,수컷,2008
젠투,비스코,48.2,15.6,221,5100,수컷,2008
젠투,비스코,46.5,14.8,217,5200,암컷,2008
젠투,비스코,46.4,15,216,4700,암컷,2008
젠투,비스코,48.6,16,230,5800,수컷,2008
젠투,비스코,47.5,14.2,209,4600,암컷,2008
젠투,비스코,51.1,16.3,220,6000,수컷,2008
젠투,비스코,45.2,13.8,215,4750,암컷,2008
젠투,비스코,45.2,16.4,223,5950,수컷,2008
젠투,비스코,49.1,14.5,212,4625,암컷,2009
젠투,비스코,52.5,15.6,221,5450,수컷,2009
젠투,비스코,47.4,14.6,212,4725,암컷,2009
젠투,비스코,50,15.9,224,5350,수컷,2009
젠투,비스코,44.9,13.8,212,4750,암컷,2009
젠투,비스코,50.8,17.3,228,5600,수컷,2009
젠투,비스코,43.4,14.4,218,4600,암컷,2009
젠투,비스코,51.3,14.2,218,5300,수컷,2009
젠투,비스코,47.5,14,212,4875,암컷,2009
젠투,비스코,52.1,17,230,5550,수컷,2009
젠투,비스코,47.5,15,218,4950,암컷,2009
젠투,비스코,52.2,17.1,228,5400,수컷,2009
젠투,비스코,45.5,14.5,212,4750,암컷,2009
젠투,비스코,49.5,16.1,224,5650,수컷,2009
젠투,비스코,44.5,14.7,214,4850,암컷,2009
젠투,비스코,50.8,15.7,226,5200,수컷,2009
젠투,비스코,49.4,15.8,216,4925,수컷,2009
젠투,비스코,46.9,14.6,222,4875,암컷,2009
젠투,비스코,48.4,14.4,203,4625,암컷,2009
젠투,비스코,51.1,16.5,225,5250,수컷,2009
젠투,비스코,48.5,15,219,4850,암컷,2009
젠투,비스코,55.9,17,228,5600,수컷,2009
젠투,비스코,47.2,15.5,215,4975,암컷,2009
젠투,비스코,49.1,15,228,5500,수컷,2009
젠투,비스코,46.8,16.1,215,5500,수컷,2009
젠투,비스코,41.7,14.7,210,4700,암컷,2009
젠투,비스코,53.4,15.8,219,5500,수컷,2009
젠투,비스코,43.3,14,208,4575,암컷,2009
젠투,비스코,48.1,15.1,209,5500,수컷,2009
젠투,비스코,50.5,15.2,216,5000,암컷,2009
젠투,비스코,49.8,15.9,229,5950,수컷,2009
젠투,비스코,43.5,15.2,213,4650,암컷,2009
젠투,비스코,51.5,16.3,230,5500,수컷,2009
젠투,비스코,46.2,14.1,217,4375,암컷,2009
젠투,비스코,55.1,16,230,5850,수컷,2009
젠투,비스코,48.8,16.2,222,6000,수컷,2009
젠투,비스코,47.2,13.7,214,4925,암컷,2009
젠투,비스코,46.8,14.3,215,4850,암컷,2009
젠투,비스코,50.4,15.7,222,5750,수컷,2009
젠투,비스코,45.2,14.8,212,5200,암컷,2009
젠투,비스코,49.9,16.1,213,5400,수컷,2009
턱끈,드림,46.5,17.9,192,3500,암컷,2007
턱끈,드림,50,19.5,196,3900,수컷,2007
턱끈,드림,51.3,19.2,193,3650,수컷,2007
턱끈,드림,45.4,18.7,188,3525,암컷,2007
턱끈,드림,52.7,19.8,197,3725,수컷,2007
턱끈,드림,45.2,17.8,198,3950,암컷,2007
턱끈,드림,46.1,18.2,178,3250,암컷,2007
턱끈,드림,51.3,18.2,197,3750,수컷,2007
턱끈,드림,46,18.9,195,4150,암컷,2007
턱끈,드림,51.3,19.9,198,3700,수컷,2007
턱끈,드림,46.6,17.8,193,3800,암컷,2007
턱끈,드림,51.7,20.3,194,3775,수컷,2007
턱끈,드림,47,17.3,185,3700,암컷,2007
턱끈,드림,52,18.1,201,4050,수컷,2007
턱끈,드림,45.9,17.1,190,3575,암컷,2007
턱끈,드림,50.5,19.6,201,4050,수컷,2007
턱끈,드림,50.3,20,197,3300,수컷,2007
턱끈,드림,58,17.8,181,3700,암컷,2007
턱끈,드림,46.4,18.6,190,3450,암컷,2007
턱끈,드림,49.2,18.2,195,4400,수컷,2007
턱끈,드림,42.4,17.3,181,3600,암컷,2007
턱끈,드림,48.5,17.5,191,3400,수컷,2007
턱끈,드림,43.2,16.6,187,2900,암컷,2007
턱끈,드림,50.6,19.4,193,3800,수컷,2007
턱끈,드림,46.7,17.9,195,3300,암컷,2007
턱끈,드림,52,19,197,4150,수컷,2007
턱끈,드림,50.5,18.4,200,3400,암컷,2008
턱끈,드림,49.5,19,200,3800,수컷,2008
턱끈,드림,46.4,17.8,191,3700,암컷,2008
턱끈,드림,52.8,20,205,4550,수컷,2008
턱끈,드림,40.9,16.6,187,3200,암컷,2008
턱끈,드림,54.2,20.8,201,4300,수컷,2008
턱끈,드림,42.5,16.7,187,3350,암컷,2008
턱끈,드림,51,18.8,203,4100,수컷,2008
턱끈,드림,49.7,18.6,195,3600,수컷,2008
턱끈,드림,47.5,16.8,199,3900,암컷,2008
턱끈,드림,47.6,18.3,195,3850,암컷,2008
턱끈,드림,52,20.7,210,4800,수컷,2008
턱끈,드림,46.9,16.6,192,2700,암컷,2008
턱끈,드림,53.5,19.9,205,4500,수컷,2008
턱끈,드림,49,19.5,210,3950,수컷,2008
턱끈,드림,46.2,17.5,187,3650,암컷,2008
턱끈,드림,50.9,19.1,196,3550,수컷,2008
턱끈,드림,45.5,17,196,3500,암컷,2008
턱끈,드림,50.9,17.9,196,3675,암컷,2009
턱끈,드림,50.8,18.5,201,4450,수컷,2009
턱끈,드림,50.1,17.9,190,3400,암컷,2009
턱끈,드림,49,19.6,212,4300,수컷,2009
턱끈,드림,51.5,18.7,187,3250,수컷,2009
턱끈,드림,49.8,17.3,198,3675,암컷,2009
턱끈,드림,48.1,16.4,199,3325,암컷,2009
턱끈,드림,51.4,19,201,3950,수컷,2009
턱끈,드림,45.7,17.3,193,3600,암컷,2009
턱끈,드림,50.7,19.7,203,4050,수컷,2009
턱끈,드림,42.5,17.3,187,3350,암컷,2009
턱끈,드림,52.2,18.8,197,3450,수컷,2009
턱끈,드림,45.2,16.6,191,3250,암컷,2009
턱끈,드림,49.3,19.9,203,4050,수컷,2009
턱끈,드림,50.2,18.8,202,3800,수컷,2009
턱끈,드림,45.6,19.4,194,3525,암컷,2009
턱끈,드림,51.9,19.5,206,3950,수컷,2009
턱끈,드림,46.8,16.5,189,3650,암컷,2009
턱끈,드림,45.7,17,195,3650,암컷,2009
턱끈,드림,55.8,19.8,207,4000,수컷,2009
턱끈,드림,43.5,18.1,202,3400,암컷,2009
턱끈,드림,49.6,18.2,193,3775,수컷,2009
턱끈,드림,50.8,19,210,4100,수컷,2009
턱끈,드림,50.2,18.7,198,3775,암컷,2009
